Date,Open,High,Low,Close,Adj Close,Volume
2022-04-12,445.049988,447.649994,438.559998,440.049988,431.394684,5272500
2022-04-13,440.049988,445.980011,439.739990,445.200012,436.443420,7292500
2022-04-14,445.440002,446.649994,439.570007,439.700012,431.051575,4409800
2022-04-18,438.709991,441.640015,437.529999,439.859985,431.208435,4631500
2022-04-19,439.750000,447.730011,439.579987,446.959991,438.168823,5184900
2022-04-20,448.880005,449.500000,445.410004,446.559998,437.776672,4293900
2022-04-21,450.559998,451.970001,439.019989,440.089996,431.433960,5260100
2022-04-22,438.799988,439.089996,427.299988,427.779999,419.366089,7928900
2022-04-25,425.470001,430.529999,420.640015,430.420013,421.954132,7913100
2022-04-26,427.700012,427.869995,417.839996,417.890015,409.670593,9574300
2022-04-27,418.940002,424.730011,416.820007,419.149994,410.905792,9798300
2022-04-28,424.100006,431.480011,419.429993,429.679993,421.228699,5563200
2022-04-29,425.480011,427.679993,412.980011,413.559998,405.425720,8744800
2022-05-02,413.619995,417.679993,406.799988,416.220001,408.033417,9393900
2022-05-03,416.820007,420.730011,415.160004,418.149994,409.925476,7359700
2022-05-04,418.869995,431.500000,415.480011,430.739990,422.267822,9572600
2022-05-05,426.350006,426.429993,411.200012,415.450012,407.278564,11436800
2022-05-06,412.869995,416.549988,407.480011,413.209991,405.082581,8978400
2022-05-09,406.799988,408.089996,398.279999,399.920013,392.054016,8724200
2022-05-10,406.209991,407.760010,396.510010,400.709991,392.828491,10355200
2022-05-11,399.779999,405.690002,393.619995,394.390015,386.632813,8473100
2022-05-12,391.029999,397.450012,386.779999,393.809998,386.064209,7557400
2022-05-13,398.380005,404.880005,397.339996,403.410004,395.475372,5360400
2022-05-16,401.690002,405.739990,399.320007,401.709991,393.808807,4944400
2022-05-17,408.239990,410.329987,404.329987,410.029999,401.965210,5230400
2022-05-18,405.239990,405.500000,392.250000,393.559998,385.819092,6217200
2022-05-19,390.170013,395.739990,388.739990,391.100006,383.407471,7168700
2022-05-20,394.910004,395.489990,382.170013,391.299988,383.603546,7447800
2022-05-23,394.570007,399.420013,392.079987,398.609985,390.769775,4936500
2022-05-24,394.209991,396.790009,388.630005,395.750000,387.966034,5415800
2022-05-25,394.029999,401.160004,393.609985,399.250000,391.397217,5610200
2022-05-26,400.429993,408.799988,400.200012,407.059998,399.053619,4283400
2022-05-27,409.709991,417.250000,409.489990,417.250000,409.043152,4078600
2022-05-31,415.359985,418.299988,411.829987,414.869995,406.709961,5773900
2022-06-01,416.989990,418.049988,408.750000,411.510010,403.416077,6646200
2022-06-02,411.250000,419.290009,408.839996,419.260010,411.013641,4391500
2022-06-03,414.209991,415.839996,411.320007,412.380005,404.268921,4039000
2022-06-06,416.690002,418.410004,412.359985,413.619995,405.484528,3028600
2022-06-07,409.839996,418.040009,409.399994,417.459991,409.249023,4627500
2022-06-08,415.750000,417.619995,412.190002,412.940002,404.817963,3379400
2022-06-09,409.790009,412.149994,401.890015,401.989990,395.311554,3994400
2022-06-10,395.299988,396.100006,390.089996,390.130005,383.648590,8654200
2022-06-13,380.170013,382.149994,373.630005,375.130005,368.897797,13018400
2022-06-14,377.200012,378.239990,370.890015,374.130005,367.914398,12557900
2022-06-15,377.690002,384.239990,372.440002,379.459991,373.155853,9075800
2022-06-16,370.829987,371.230011,364.359985,366.989990,360.893005,10548900
2022-06-17,367.440002,371.269989,364.029999,367.660004,361.551880,13277800
2022-06-21,373.739990,378.450012,373.630005,377.010010,370.746552,6635600
2022-06-22,372.570007,380.660004,372.089996,376.359985,370.107330,5115400
2022-06-23,378.579987,380.760010,374.769989,380.130005,373.814728,7789000
2022-06-24,383.339996,392.079987,383.339996,392.000000,385.487518,4803100
2022-06-27,393.040009,393.359985,389.410004,390.579987,384.091064,7858300
2022-06-28,392.140015,395.140015,382.500000,382.609985,376.253510,5630500
2022-06-29,383.170013,384.220001,380.399994,382.339996,375.988007,3905800
2022-06-30,378.200012,382.579987,374.519989,379.149994,372.851013,7321100
2022-07-01,378.519989,383.640015,375.769989,383.089996,376.725525,5267700
2022-07-05,377.869995,383.970001,374.829987,383.910004,377.531952,5097000
2022-07-06,384.109985,387.859985,381.589996,385.279999,378.879181,4982800
2022-07-07,387.160004,391.839996,387.119995,390.989990,384.494293,4786300
2022-07-08,389.260010,392.640015,387.670013,390.679993,384.189423,3757200
2022-07-11,387.850006,388.850006,385.500000,386.230011,379.813385,3602000
2022-07-12,385.700012,388.149994,380.959991,382.760010,376.401031,3906600
2022-07-13,377.010010,383.880005,376.579987,380.799988,374.473572,4665200
2022-07-14,375.549988,380.489990,372.970001,379.880005,373.568878,4885900
2022-07-15,384.549988,387.220001,382.510010,387.130005,380.698456,3959000
2022-07-18,390.359985,391.049988,382.649994,384.000000,377.620453,3743600
2022-07-19,388.029999,394.890015,387.399994,394.320007,387.768982,4684000
2022-07-20,394.450012,398.309998,393.089996,396.760010,390.168427,4862300
2022-07-21,396.200012,400.910004,393.709991,400.809998,394.151123,8258600
2022-07-22,400.989990,402.239990,394.799988,397.239990,390.640472,6173800
2022-07-25,397.820007,398.549988,395.290009,397.649994,391.043671,3960300
2022-07-26,395.859985,396.089996,391.980011,392.929993,386.402069,4115500
2022-07-27,396.450012,404.980011,396.179993,403.089996,396.393280,4904500
2022-07-28,403.970001,408.910004,400.260010,408.209991,401.428223,5250400
2022-07-29,409.829987,415.200012,408.920013,414.279999,407.397369,4438300
2022-08-01,411.339996,415.579987,410.570007,412.950012,406.089478,3757500
2022-08-02,411.269989,415.149994,408.950012,410.320007,403.503174,4000300
2022-08-03,412.489990,417.899994,412.209991,416.720001,409.796844,4612000
2022-08-04,416.570007,417.260010,414.649994,416.320007,409.403473,4000200
2022-08-05,411.829987,416.350006,411.779999,415.589996,408.685608,2971100
2022-08-08,417.500000,419.839996,414.000000,415.230011,408.331604,4297800
2022-08-09,414.429993,414.890015,412.380005,413.489990,406.620514,2491400
2022-08-10,421.010010,422.359985,418.970001,422.149994,415.136597,3837200
2022-08-11,425.260010,427.209991,421.470001,422.299988,415.284119,4909900
2022-08-12,424.299988,429.480011,423.279999,429.250000,422.118683,4492300
2022-08-15,427.130005,431.690002,427.000000,431.140015,423.977295,2596200
2022-08-16,430.049988,434.029999,429.239990,432.040009,424.862335,3596400
2022-08-17,428.200012,431.809998,426.809998,428.790009,421.666351,4063600
2022-08-18,429.140015,430.890015,427.779999,430.049988,422.905396,2709800
2022-08-19,427.260010,427.540009,423.470001,424.359985,417.309906,4063300
2022-08-22,419.279999,419.390015,414.579987,415.459991,408.557770,5263500
2022-08-23,415.089996,417.600006,413.940002,414.540009,407.653046,4201600
2022-08-24,414.329987,417.320007,413.579987,415.829987,408.921570,2673800
