Date,Open,High,Low,Close,Adj Close,Volume
2022-03-01,153.580002,154.479996,150.619995,151.600006,147.482681,7314500
2022-03-02,152.490005,155.460007,152.460007,154.830002,150.624954,5611900
2022-03-03,155.550003,155.869995,153.410004,154.509995,150.313644,4578400
2022-03-04,153.039993,153.679993,151.770004,153.580002,149.408920,4066500
2022-03-07,153.139999,153.350006,149.220001,149.330002,145.274323,4467100
2022-03-08,149.639999,151.770004,148.240005,148.259995,144.233398,5654700
2022-03-09,150.910004,152.270004,150.500000,151.399994,147.288116,4120100
2022-03-10,149.669998,151.380005,149.399994,151.110001,147.005981,2684000
2022-03-11,151.949997,152.410004,149.410004,149.520004,145.459167,2091100
2022-03-14,150.169998,151.059998,148.360001,148.970001,144.924103,2753400
2022-03-15,149.619995,151.600006,149.389999,151.369995,147.258896,3326000
2022-03-16,152.470001,154.240005,150.880005,154.229996,150.041245,4260500
2022-03-17,153.589996,156.169998,153.440002,156.169998,151.928558,3085000
2022-03-18,155.630005,157.339996,155.309998,157.169998,152.901398,2489600
2022-03-21,156.369995,157.250000,155.059998,156.080002,152.475494,2529300
2022-03-22,156.770004,157.710007,156.720001,157.389999,153.755203,2010300
2022-03-23,156.699997,156.919998,155.110001,155.139999,151.557190,1802700
2022-03-24,155.710007,156.970001,155.179993,156.949997,153.325378,953200
2022-03-25,157.339996,158.089996,156.589996,158.020004,154.370667,988100
2022-03-28,157.770004,158.490005,156.729996,158.490005,154.829834,1943100
2022-03-29,159.860001,161.240005,159.570007,161.119995,157.399094,1903100
2022-03-30,160.690002,161.009995,159.119995,159.889999,156.197495,2053100
2022-03-31,159.669998,160.199997,157.630005,157.710007,154.067856,2252000
2022-04-01,158.419998,158.550003,156.929993,158.220001,154.566055,2171600
2022-04-04,158.309998,158.679993,157.490005,158.559998,154.898209,1814300
2022-04-05,158.210007,159.080002,156.449997,156.869995,153.247223,1669600
2022-04-06,155.789993,156.570007,154.940002,156.080002,152.475494,2000700
2022-04-07,155.910004,157.199997,154.789993,156.559998,152.944397,1312300
2022-04-08,156.500000,157.809998,155.990005,156.889999,153.266754,2334800
2022-04-11,156.119995,157.029999,155.190002,155.369995,151.781860,1553500
2022-04-12,155.929993,157.270004,154.350006,154.850006,151.273911,2301400
2022-04-13,154.990005,156.789993,154.990005,156.600006,152.983475,1957000
2022-04-14,156.800003,157.539993,155.479996,155.529999,151.938156,1735500
2022-04-18,155.199997,156.039993,154.500000,155.199997,151.615799,1922500
2022-04-19,155.300003,158.210007,155.300003,157.949997,154.302292,2264000
2022-04-20,158.619995,159.770004,158.389999,158.960007,155.288986,2557200
2022-04-21,160.250000,160.479996,156.339996,156.660004,153.042084,2620800
2022-04-22,156.070007,156.160004,152.270004,152.389999,148.870682,3873000
2022-04-25,151.500000,153.029999,149.410004,152.850006,149.320068,3456600
2022-04-26,151.940002,152.210007,149.130005,149.190002,145.744598,2998400
2022-04-27,149.529999,151.029999,148.570007,149.470001,146.018112,3588900
2022-04-28,150.740005,152.710007,148.729996,152.070007,148.558075,4006200
2022-04-29,151.419998,152.270004,147.190002,147.449997,144.044754,4108000
2022-05-02,147.600006,148.830002,144.740005,147.850006,144.435547,5308800
2022-05-03,148.119995,150.029999,147.919998,149.070007,145.627365,2430400
2022-05-04,149.300003,153.460007,148.169998,153.220001,149.681519,2935800
2022-05-05,151.910004,152.149994,147.179993,148.610001,145.177994,5450600
2022-05-06,147.770004,148.210007,145.210007,147.250000,143.849396,3421500
2022-05-09,145.270004,145.770004,142.320007,142.880005,139.580322,4993600
2022-05-10,144.729996,145.330002,140.660004,142.509995,139.218872,5322100
2022-05-11,142.490005,144.869995,140.520004,140.669998,137.421356,3826000
2022-05-12,140.000000,142.250000,138.880005,141.270004,138.007507,4555100
2022-05-13,142.589996,145.089996,142.479996,144.500000,141.162918,2373400
2022-05-16,144.020004,145.130005,142.970001,143.990005,140.664688,2105600
2022-05-17,146.029999,147.070007,144.949997,147.039993,143.644241,5057700
2022-05-18,145.559998,145.589996,141.009995,141.509995,138.241959,2108300
2022-05-19,140.199997,142.779999,139.880005,141.190002,137.929367,2515000
2022-05-20,142.360001,142.570007,138.119995,141.190002,137.929367,4302400
2022-05-23,142.580002,143.589996,141.169998,143.179993,139.873398,2905500
2022-05-24,142.210007,142.699997,139.809998,142.289993,139.003937,4026400
2022-05-25,141.839996,144.470001,141.770004,143.929993,140.606049,1937100
2022-05-26,144.770004,147.610001,144.770004,146.970001,143.575851,3162500
2022-05-27,147.779999,150.339996,147.750000,150.339996,146.868027,3196700
2022-05-31,149.460007,150.119995,148.139999,148.929993,145.490585,2746200
2022-06-01,149.580002,149.889999,146.130005,147.350006,143.947098,2113400
2022-06-02,147.449997,149.979996,146.690002,149.940002,146.477280,1872400
2022-06-03,148.619995,149.169998,147.889999,148.169998,144.748138,1591900
2022-06-06,149.369995,149.910004,148.350006,148.710007,145.275681,2004800
2022-06-07,147.419998,150.279999,147.279999,150.130005,146.662888,1581100
2022-06-08,149.429993,149.720001,147.710007,148.009995,144.591858,1370300
2022-06-09,147.410004,147.710007,144.649994,144.649994,141.309433,1182100
2022-06-10,142.389999,142.500000,140.710007,140.710007,137.460434,2594700
2022-06-13,137.419998,137.889999,134.389999,135.050003,131.931152,3705400
2022-06-14,135.789993,136.119995,133.160004,134.350006,131.247330,3562600
2022-06-15,135.550003,137.419998,133.449997,135.639999,132.507523,2899900
2022-06-16,132.850006,132.850006,129.919998,130.839996,127.818367,2967400
